benchmark,retrieval_variant,method,num_queries,accuracy,exact_match,hit_at_1,mrr,retrieval_support_recall_at_retrieve_k,retrieval_support_recall_at_final_k,notes
locomo,dense_e5,proposed_learned_direct_valid,1986,0.12386706948640483,0.07905337361530715,0.42748863062152603,0.5520591207680647,0.920678640503613,0.7901567789098065,External-adapted direct_valid using retrieval priors plus learned relevance/validity signals.
locomo,dense_e5,proposed_learned_direct_valid_resolver,1986,0.12487411883182276,0.081067472306143,0.42748863062152603,0.5520591207680647,0.920678640503613,0.7901567789098065,External-adapted direct_valid with resolver blended against the retrieval prior.
locomo,dense_e5,reader_llama31_8b_instruct,1986,0.00906344410876133,0.006042296072507553,0.42748863062152603,0.5520591207680647,0.920678640503613,0.7901567789098065,Open-model reader baseline using Llama-3.1-8B-Instruct on the retrieved top-k snippets.
locomo,dense_e5,reader_qwen25_7b_instruct,1986,0.008559919436052367,0.004028197381671702,0.42748863062152603,0.5520591207680647,0.920678640503613,0.7901567789098065,Open-model reader baseline using Qwen2.5-7B-instruct on the retrieved top-k snippets.
locomo,dense_e5,retrieval_only_baseline,1986,0.10473313192346426,0.0689828801611279,0.42748863062152603,0.5520591207680647,0.920678640503613,0.7901567789098065,Top retrieved context with type-aware local answer extraction.
locomo,dense_e5_rerank,proposed_learned_direct_valid,1986,0.16012084592145015,0.09617321248741188,0.627589691763517,0.6954099392831076,0.920678640503613,0.8136310156478824,External-adapted direct_valid using retrieval priors plus learned relevance/validity signals.
locomo,dense_e5_rerank,proposed_learned_direct_valid_resolver,1986,0.1596173212487412,0.09818731117824774,0.627589691763517,0.6954099392831076,0.920678640503613,0.8136310156478824,External-adapted direct_valid with resolver blended against the retrieval prior.
locomo,dense_e5_rerank,reader_llama31_8b_instruct,1986,0.014098690835850957,0.00906344410876133,0.627589691763517,0.6954099392831076,0.920678640503613,0.8136310156478824,Open-model reader baseline using Llama-3.1-8B-Instruct on the retrieved top-k snippets.
locomo,dense_e5_rerank,reader_qwen25_7b_instruct,1986,0.00906344410876133,0.003524672708962739,0.627589691763517,0.6954099392831076,0.920678640503613,0.8136310156478824,Open-model reader baseline using Qwen2.5-7B-instruct on the retrieved top-k snippets.
locomo,dense_e5_rerank,retrieval_only_baseline,1986,0.1540785498489426,0.09365558912386707,0.627589691763517,0.6954099392831076,0.920678640503613,0.8136310156478824,Top retrieved context with type-aware local answer extraction.
locomo,hybrid_bge_m3,proposed_learned_direct_valid,1986,0.13141993957703926,0.0850956696878147,0.5002526528549772,0.626462579304924,0.9766087431993237,0.8959657686496388,External-adapted direct_valid using retrieval priors plus learned relevance/validity signals.
locomo,hybrid_bge_m3,proposed_learned_direct_valid_resolver,1986,0.1299093655589124,0.08358509566968782,0.5002526528549772,0.626462579304924,0.9766087431993237,0.8959657686496388,External-adapted direct_valid with resolver blended against the retrieval prior.
locomo,hybrid_bge_m3,reader_llama31_8b_instruct,1986,0.006545820745216516,0.0075528700906344415,0.5002526528549772,0.626462579304924,0.9766087431993237,0.8959657686496388,Open-model reader baseline using Llama-3.1-8B-Instruct on the retrieved top-k snippets.
locomo,hybrid_bge_m3,reader_qwen25_7b_instruct,1986,0.0075528700906344415,0.002014098690835851,0.5002526528549772,0.626462579304924,0.9766087431993237,0.8959657686496388,Open-model reader baseline using Qwen2.5-7B-instruct on the retrieved top-k snippets.
locomo,hybrid_bge_m3,retrieval_only_baseline,1986,0.11530715005035247,0.07200402819738168,0.5002526528549772,0.626462579304924,0.9766087431993237,0.8959657686496388,Top retrieved context with type-aware local answer extraction.
locomo,hybrid_bge_m3_rerank,proposed_learned_direct_valid,1986,0.16112789526686808,0.09667673716012085,0.6291056088933805,0.699307811384618,0.9766087431993237,0.8266673014102924,External-adapted direct_valid using retrieval priors plus learned relevance/validity signals.
locomo,hybrid_bge_m3_rerank,proposed_learned_direct_valid_resolver,1986,0.1596173212487412,0.09818731117824774,0.6291056088933805,0.699307811384618,0.9766087431993237,0.8266673014102924,External-adapted direct_valid with resolver blended against the retrieval prior.
locomo,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,1986,0.007049345417925478,0.005035246727089627,0.6291056088933805,0.699307811384618,0.9766087431993237,0.8266673014102924,Open-model reader baseline using Llama-3.1-8B-Instruct on the retrieved top-k snippets.
locomo,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,1986,0.007049345417925478,0.0030211480362537764,0.6291056088933805,0.699307811384618,0.9766087431993237,0.8266673014102924,Open-model reader baseline using Qwen2.5-7B-instruct on the retrieved top-k snippets.
locomo,hybrid_bge_m3_rerank,retrieval_only_baseline,1986,0.1540785498489426,0.09365558912386707,0.6291056088933805,0.699307811384618,0.9766087431993237,0.8266673014102924,Top retrieved context with type-aware local answer extraction.
locomo,tfidf,proposed_learned_direct_valid,1986,0.1445115810674723,0.08710976837865056,0.628600303183426,0.7347375618598457,0.9679842782716056,0.9006033521654437,External-adapted direct_valid using retrieval priors plus learned relevance/validity signals.
locomo,tfidf,proposed_learned_direct_valid_resolver,1986,0.14400805639476336,0.0891238670694864,0.628600303183426,0.7347375618598457,0.9679842782716056,0.9006033521654437,External-adapted direct_valid with resolver blended against the retrieval prior.
locomo,tfidf,reader_llama31_8b_instruct,1986,0.0030211480362537764,0.004028197381671702,0.628600303183426,0.7347375618598457,0.9679842782716056,0.9006033521654437,Open-model reader baseline using Llama-3.1-8B-Instruct on the retrieved top-k snippets.
locomo,tfidf,reader_qwen25_7b_instruct,1986,0.004028197381671702,0.0015105740181268882,0.628600303183426,0.7347375618598457,0.9679842782716056,0.9006033521654437,Open-model reader baseline using Qwen2.5-7B-instruct on the retrieved top-k snippets.
locomo,tfidf,retrieval_only_baseline,1986,0.13746223564954682,0.08408862034239678,0.628600303183426,0.7347375618598457,0.9679842782716056,0.9006033521654437,Top retrieved context with type-aware local answer extraction.
