benchmark,retrieval_variant,method,num_queries,accuracy,exact_match,hit_at_1,mrr,retrieval_support_recall_at_retrieve_k,retrieval_support_recall_at_final_k,notes
longmemeval,dense_e5,proposed_learned_direct_valid,500,0.146,0.096,0.78,0.8400801587301587,0.9676666666666667,0.9094333333333334,External-adapted direct_valid using retrieval priors plus learned relevance/validity signals.
longmemeval,dense_e5,proposed_learned_direct_valid_resolver,500,0.154,0.102,0.78,0.8400801587301587,0.9676666666666667,0.9094333333333334,External-adapted direct_valid with resolver blended against the retrieval prior.
longmemeval,dense_e5,reader_llama31_8b_instruct,500,0.026,0.01,0.78,0.8400801587301587,0.9676666666666667,0.9094333333333334,Open-model reader baseline using Llama-3.1-8B-Instruct on the retrieved top-k snippets.
longmemeval,dense_e5,reader_qwen25_7b_instruct,500,0.036,0.014,0.78,0.8400801587301587,0.9676666666666667,0.9094333333333334,Open-model reader baseline using Qwen2.5-7B-instruct on the retrieved top-k snippets.
longmemeval,dense_e5,retrieval_only_baseline,500,0.144,0.092,0.78,0.8400801587301587,0.9676666666666667,0.9094333333333334,Top retrieved context with type-aware local answer extraction.
longmemeval,dense_e5_rerank,proposed_learned_direct_valid,500,0.162,0.108,0.854,0.8948158730158731,0.9676666666666667,0.9392333333333334,External-adapted direct_valid using retrieval priors plus learned relevance/validity signals.
longmemeval,dense_e5_rerank,proposed_learned_direct_valid_resolver,500,0.16,0.11,0.854,0.8948158730158731,0.9676666666666667,0.9392333333333334,External-adapted direct_valid with resolver blended against the retrieval prior.
longmemeval,dense_e5_rerank,reader_llama31_8b_instruct,500,0.034,0.018,0.854,0.8948158730158731,0.9676666666666667,0.9392333333333334,Open-model reader baseline using Llama-3.1-8B-Instruct on the retrieved top-k snippets.
longmemeval,dense_e5_rerank,reader_qwen25_7b_instruct,500,0.038,0.014,0.854,0.8948158730158731,0.9676666666666667,0.9392333333333334,Open-model reader baseline using Qwen2.5-7B-instruct on the retrieved top-k snippets.
longmemeval,dense_e5_rerank,retrieval_only_baseline,500,0.158,0.106,0.854,0.8948158730158731,0.9676666666666667,0.9392333333333334,Top retrieved context with type-aware local answer extraction.
longmemeval,hybrid_bge_m3,proposed_learned_direct_valid,500,0.154,0.102,0.774,0.8463444444444445,0.9826666666666666,0.9501666666666666,External-adapted direct_valid using retrieval priors plus learned relevance/validity signals.
longmemeval,hybrid_bge_m3,proposed_learned_direct_valid_resolver,500,0.152,0.1,0.774,0.8463444444444445,0.9826666666666666,0.9501666666666666,External-adapted direct_valid with resolver blended against the retrieval prior.
longmemeval,hybrid_bge_m3,reader_llama31_8b_instruct,500,0.018,0.006,0.774,0.8463444444444445,0.9826666666666666,0.9501666666666666,Open-model reader baseline using Llama-3.1-8B-Instruct on the retrieved top-k snippets.
longmemeval,hybrid_bge_m3,reader_qwen25_7b_instruct,500,0.028,0.008,0.774,0.8463444444444445,0.9826666666666666,0.9501666666666666,Open-model reader baseline using Qwen2.5-7B-instruct on the retrieved top-k snippets.
longmemeval,hybrid_bge_m3,retrieval_only_baseline,500,0.136,0.094,0.774,0.8463444444444445,0.9826666666666666,0.9501666666666666,Top retrieved context with type-aware local answer extraction.
longmemeval,hybrid_bge_m3_rerank,proposed_learned_direct_valid,500,0.164,0.106,0.862,0.901379365079365,0.9826666666666666,0.9431666666666667,External-adapted direct_valid using retrieval priors plus learned relevance/validity signals.
longmemeval,hybrid_bge_m3_rerank,proposed_learned_direct_valid_resolver,500,0.168,0.106,0.862,0.901379365079365,0.9826666666666666,0.9431666666666667,External-adapted direct_valid with resolver blended against the retrieval prior.
longmemeval,hybrid_bge_m3_rerank,reader_llama31_8b_instruct,500,0.038,0.014,0.862,0.901379365079365,0.9826666666666666,0.9431666666666667,Open-model reader baseline using Llama-3.1-8B-Instruct on the retrieved top-k snippets.
longmemeval,hybrid_bge_m3_rerank,reader_qwen25_7b_instruct,500,0.04,0.016,0.862,0.901379365079365,0.9826666666666666,0.9431666666666667,Open-model reader baseline using Qwen2.5-7B-instruct on the retrieved top-k snippets.
longmemeval,hybrid_bge_m3_rerank,retrieval_only_baseline,500,0.158,0.104,0.862,0.901379365079365,0.9826666666666666,0.9431666666666667,Top retrieved context with type-aware local answer extraction.
longmemeval,tfidf,proposed_learned_direct_valid,500,0.158,0.098,0.76,0.8280285714285713,0.9466666666666667,0.9009333333333334,External-adapted direct_valid using retrieval priors plus learned relevance/validity signals.
longmemeval,tfidf,proposed_learned_direct_valid_resolver,500,0.162,0.098,0.76,0.8280285714285713,0.9466666666666667,0.9009333333333334,External-adapted direct_valid with resolver blended against the retrieval prior.
longmemeval,tfidf,reader_llama31_8b_instruct,500,0.03,0.018,0.76,0.8280285714285713,0.9466666666666667,0.9009333333333334,Open-model reader baseline using Llama-3.1-8B-Instruct on the retrieved top-k snippets.
longmemeval,tfidf,reader_qwen25_7b_instruct,500,0.028,0.016,0.76,0.8280285714285713,0.9466666666666667,0.9009333333333334,Open-model reader baseline using Qwen2.5-7B-instruct on the retrieved top-k snippets.
longmemeval,tfidf,retrieval_only_baseline,500,0.152,0.096,0.76,0.8280285714285713,0.9466666666666667,0.9009333333333334,Top retrieved context with type-aware local answer extraction.
